model_name,text_detection,text_recognition,preprocessing_steps,item_accuracy,char_accuracy,inference_time,average_normalized_levenshtein,average_bleu_score,average_rouge_rouge-1,average_rouge_rouge-2,average_rouge_rouge-l,average_type_textType1,average_region_bottom,average_length_short,average_length_medium,average_length_long,average_size_large
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_denoising,0.226890756302521,0.8125,9.207933187484741,0.6909492273730684,0.43981539928294466,0.7173912993478262,0.4155844105852589,0.6847826036956522,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.375,1.0,0.6666666666666666
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_denoising_binarization,0.226890756302521,0.8125,8.482933759689331,0.6887417218543046,0.4363161563859231,0.7135135085136597,0.4137930984486475,0.6810810760812273,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.375,1.0,0.6666666666666666
paddleocr,DBNet/EAST,CRNN/SVTR,binarization,0.0,0.0,0.06824898719787598,0.0,0.0,0.0,0.0,0.0,,,,,,
paddleocr,DBNet/EAST,CRNN/SVTR,denoising,0.0,0.0,7.009253978729248,0.0,0.0,0.0,0.0,0.0,,,,,,
paddleocr,DBNet/EAST,CRNN/SVTR,denoising_binarization,0.0,0.0,7.538459777832031,0.0,0.0,0.0,0.0,0.0,,,,,,
paddleocr,DBNet/EAST,CRNN/SVTR,no_preprocessing,0.0,0.0,0.00014972686767578125,0.0,0.0,0.0,0.0,0.0,,,,,,
paddleocr,DBNet/EAST,CRNN/SVTR,sharpening,0.0,0.0,0.012570381164550781,0.0,0.0,0.0,0.0,0.0,,,,,,
paddleocr,DBNet/EAST,CRNN/SVTR,sharpening_binarization,0.0,0.0,0.07572603225708008,0.0,0.0,0.0,0.0,0.0,,,,,,
paddleocr,DBNet/EAST,CRNN/SVTR,sharpening_denoising,0.0,0.0,7.500901460647583,0.0,0.0,0.0,0.0,0.0,,,,,,
paddleocr,DBNet/EAST,CRNN/SVTR,sharpening_denoising_binarization,0.0,0.0,7.056616544723511,0.0,0.0,0.0,0.0,0.0,,,,,,
tesseract,Layout Analysis,LSTM + CTC,binarization,0.0,0.0,0.3315246105194092,0.0,0.0,0.0,0.0,0.0,,,,,,
tesseract,Layout Analysis,LSTM + CTC,denoising,0.0,0.0,7.770623683929443,0.0,0.0,0.0,0.0,0.0,,,,,,
tesseract,Layout Analysis,LSTM + CTC,denoising_binarization,0.0,0.0,7.533110857009888,0.0,0.0,0.0,0.0,0.0,,,,,,
tesseract,Layout Analysis,LSTM + CTC,no_preprocessing,0.0,0.0,0.39121103286743164,0.0,0.0,0.0,0.0,0.0,,,,,,
tesseract,Layout Analysis,LSTM + CTC,sharpening,0.0,0.0,0.3798544406890869,0.0,0.0,0.0,0.0,0.0,,,,,,
tesseract,Layout Analysis,LSTM + CTC,sharpening_binarization,0.0,0.0,0.3590843677520752,0.0,0.0,0.0,0.0,0.0,,,,,,
tesseract,Layout Analysis,LSTM + CTC,sharpening_denoising,0.0,0.0,7.501412391662598,0.0,0.0,0.0,0.0,0.0,,,,,,
tesseract,Layout Analysis,LSTM + CTC,sharpening_denoising_binarization,0.0,0.0,7.759990453720093,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,binarization,0.0,0.0,0.06747269630432129,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,denoising,0.0,0.0,6.70898962020874,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,denoising_binarization,0.0,0.0,8.174959421157837,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,no_preprocessing,0.0,0.0,0.7866330146789551,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening,0.0,0.0,0.03148508071899414,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_binarization,0.0,0.0,0.08227133750915527,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_denoising,0.0,0.0,6.808762311935425,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_denoising_binarization,0.0,0.0,8.152097702026367,0.0,0.0,0.0,0.0,0.0,,,,,,
