model_name,text_detection,text_recognition,preprocessing_steps,item_accuracy,char_accuracy,inference_time,average_normalized_levenshtein,average_bleu_score,average_rouge_rouge-1,average_rouge_rouge-2,average_rouge_rouge-l,average_type_textType1,average_region_bottom,average_length_short,average_length_long,average_length_medium,average_size_medium
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),binarization,0.43902439024390244,0.5506072874493927,2.9627580642700195,0.718213058419244,0.25141162755384305,0.6224066340496893,0.30281689646424326,0.5726141029293573,0.5555555555555556,0.5555555555555556,0.782608695652174,0.25,0.47368421052631576,0.5555555555555556
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),denoising,0.44715447154471544,0.5209125475285171,9.885337352752686,0.7250859106529209,0.2669891887797171,0.6781115830035551,0.370909085938248,0.6437768190550572,0.4727272727272727,0.4727272727272727,0.75,0.08333333333333333,0.43478260869565216,0.4727272727272727
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),denoising_binarization,0.45528455284552843,0.56640625,9.81548547744751,0.731958762886598,0.2734236210255512,0.6896551674320007,0.37818181321097527,0.6465517191561385,0.5178571428571429,0.5178571428571429,0.8,0.09090909090909091,0.48,0.5178571428571429
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),no_preprocessing,0.43902439024390244,0.5307692307692308,2.819114923477173,0.7285223367697595,0.26917747772203776,0.6781115830035551,0.36956521242307294,0.6351931280679328,0.48148148148148145,0.48148148148148145,0.75,0.08333333333333333,0.45454545454545453,0.48148148148148145
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening,0.44715447154471544,0.5325670498084292,2.7924399375915527,0.7285223367697595,0.26917747772203776,0.6781115830035551,0.36956521242307294,0.6351931280679328,0.4909090909090909,0.4909090909090909,0.7619047619047619,0.08333333333333333,0.45454545454545453,0.4909090909090909
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_binarization,0.3333333333333333,0.49746192893401014,2.7964181900024414,0.70446735395189,0.27788173505443503,0.6556016547965773,0.36363635869895844,0.6058091236762453,0.5853658536585366,0.5853658536585366,0.8888888888888888,0.1111111111111111,0.5,0.5853658536585366
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_denoising,0.44715447154471544,0.5247148288973384,9.376709699630737,0.7233676975945017,0.2677061504121367,0.6837606787840602,0.36956521242307294,0.6410256360490175,0.4727272727272727,0.4727272727272727,0.75,0.08333333333333333,0.43478260869565216,0.4727272727272727
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_denoising_binarization,0.4634146341463415,0.5680933852140078,10.097540378570557,0.731958762886598,0.2734236210255512,0.6896551674320007,0.37818181321097527,0.6465517191561385,0.5263157894736842,0.5263157894736842,0.8095238095238095,0.09090909090909091,0.48,0.5263157894736842
tesseract,Layout Analysis,LSTM + CTC,binarization,0.0,0.0,2.4153249263763428,0.34536082474226804,0.2055341377746317,0.4365482184070706,0.2090909042103307,0.4365482184070706,,,,,,
tesseract,Layout Analysis,LSTM + CTC,denoising,0.0,0.0,9.99031400680542,0.5120274914089347,0.20668788503369823,0.4387755052670763,0.2062780220024534,0.4387755052670763,,,,,,
tesseract,Layout Analysis,LSTM + CTC,denoising_binarization,0.0,0.0,9.61101746559143,0.24226804123711343,0.25711790159622494,0.4729063989681866,0.262008728684045,0.4729063989681866,,,,,,
tesseract,Layout Analysis,LSTM + CTC,no_preprocessing,0.0,0.0,2.399698257446289,0.5120274914089347,0.2060640174957425,0.4365482184070706,0.2053571379468273,0.4263959341431112,,,,,,
tesseract,Layout Analysis,LSTM + CTC,sharpening,0.0,0.0,2.5201916694641113,0.5189003436426116,0.2149959110468458,0.44444443949545964,0.21333332841639516,0.44444443949545964,,,,,,
tesseract,Layout Analysis,LSTM + CTC,sharpening_binarization,0.0,0.0,2.3560163974761963,0.3883161512027491,0.23122875894144088,0.41951219014205837,0.219409277726148,0.41951219014205837,,,,,,
tesseract,Layout Analysis,LSTM + CTC,sharpening_denoising,0.0,0.0,9.449336290359497,0.5103092783505154,0.2054064802609157,0.4387755052670763,0.2062780220024534,0.42857142363442324,,,,,,
tesseract,Layout Analysis,LSTM + CTC,sharpening_denoising_binarization,0.0,0.0,10.156641244888306,0.24398625429553267,0.25711790159622494,0.4729063989681866,0.262008728684045,0.4729063989681866,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,binarization,0.0,0.0,0.09398794174194336,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,denoising,0.0,0.0,7.059532880783081,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,denoising_binarization,0.0,0.0,7.241933107376099,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,no_preprocessing,0.0,0.0,0.11172151565551758,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening,0.0,0.0,0.27196598052978516,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_binarization,0.0,0.0,0.4322779178619385,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_denoising,0.0,0.0,7.051539182662964,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_denoising_binarization,0.0,0.0,7.295106649398804,0.0,0.0,0.0,0.0,0.0,,,,,,
