model_name,text_detection,text_recognition,preprocessing_steps,item_accuracy,char_accuracy,inference_time,average_normalized_levenshtein,average_bleu_score,average_rouge_rouge-1,average_rouge_rouge-2,average_rouge_rouge-l,full_text_exact_match,full_text_char_accuracy,full_text_word_accuracy,full_text_normalized_accuracy,average_type_textType1,average_region_bottom,average_length_short,average_length_medium,average_length_long,average_size_large
yolo_ocr,yolo_ocr,yolo_ocr,no_preprocessing,0.0,0.0,5.8409583568573,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,yolo_ocr,yolo_ocr,sharpening,0.0,0.0,0.07386636734008789,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,yolo_ocr,yolo_ocr,sharpening_denoising,0.0,0.0,7.949783563613892,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,yolo_ocr,yolo_ocr,sharpening_binarization,0.0,0.0,0.11887884140014648,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,0.0,0.0,0.0,0.0,,,,,,
tesseract,tesseract,tesseract,no_preprocessing,0.0,0.0,2.7388720512390137,0.3774834437086093,0.34001456400446867,0.5480769181434912,0.33587785765252615,0.5480769181434912,0.0,0.09050772626931568,0.01639344262295082,0.06937394247038917,,,,,,
tesseract,tesseract,tesseract,sharpening,0.0,0.0,2.528071880340576,0.38631346578366443,0.33248570619829215,0.546341458467103,0.3333333283766,0.546341458467103,0.0,0.10154525386313466,0.01639344262295082,0.07876712328767123,,,,,,
tesseract,tesseract,tesseract,denoising,0.0,0.0,9.388507843017578,0.3818984547461368,0.32573256372789616,0.5410627969940957,0.32950191076232,0.5410627969940957,0.0,0.09492273730684327,0.01639344262295082,0.07263513513513513,,,,,,
tesseract,tesseract,tesseract,binarization,0.0,0.0,2.2062790393829346,0.3509933774834437,0.3278111648014121,0.5151515101765127,0.330708656448323,0.5151515101765127,0.0,0.08388520971302428,0.00819672131147541,0.06846846846846846,,,,,,
tesseract,tesseract,tesseract,sharpening_denoising,0.0,0.0,10.45619821548462,0.3818984547461368,0.33248570619829215,0.5490196028911958,0.33204632709291754,0.5490196028911958,0.0,0.059602649006622516,0.01639344262295082,0.046153846153846156,,,,,,
easyocr,easyocr,easyocr,sharpening_denoising,0.226890756302521,0.8125,8.453870058059692,0.6909492273730684,0.43981539928294466,0.7173912993478262,0.4155844105852589,0.6847826036956522,0.0,0.10375275938189846,0.01639344262295082,0.10375275938189846,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.375,1.0,0.6666666666666666
easyocr,easyocr,easyocr,denoising_binarization,0.226890756302521,0.8125,10.813905954360962,0.6909492273730684,0.43981539928294466,0.7173912993478262,0.4155844105852589,0.6847826036956522,0.0,0.10375275938189846,0.01639344262295082,0.10375275938189846,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.375,1.0,0.6666666666666666
yolo_ocr,yolo_ocr,yolo_ocr,denoising_binarization,0.0,0.0,7.311546087265015,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,yolo_ocr,yolo_ocr,no_preprocessing,0.0,0.0,4.854476690292358,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,0.0,0.0,0.0,0.0,,,,,,
tesseract,tesseract,tesseract,sharpening_binarization,0.0,0.0,2.4569449424743652,0.3995584988962473,0.2959925700783616,0.5273631791153685,0.27667983692543235,0.5273631791153685,0.0,0.09713024282560706,0.03278688524590164,0.07857142857142857,,,,,,
tesseract,tesseract,tesseract,sharpening_denoising_binarization,0.0,0.0,9.603920221328735,0.39072847682119205,0.3279528888369096,0.5436893154453766,0.32950191076232,0.5436893154453766,0.0,0.10596026490066225,0.01639344262295082,0.08121827411167512,,,,,,
easyocr,easyocr,easyocr,sharpening,0.226890756302521,0.8125,1.611048936843872,0.6909492273730684,0.43981539928294466,0.7173912993478262,0.4155844105852589,0.6847826036956522,0.0,0.10375275938189846,0.01639344262295082,0.10375275938189846,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.375,1.0,0.6666666666666666
easyocr,easyocr,easyocr,binarization,0.23529411764705882,0.8360655737704918,1.5237538814544678,0.6931567328918322,0.4135292887954735,0.7142857092863183,0.37931033982795787,0.6923076873082963,0.0,0.09050772626931568,0.07377049180327869,0.09050772626931568,0.6428571428571429,0.6428571428571429,0.7368421052631579,0.375,1.0,0.6428571428571429
yolo_ocr,yolo_ocr,yolo_ocr,binarization,0.0,0.0,0.142899751663208,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,0.0,0.0,0.0,0.0,,,,,,
paddleocr,paddleocr,paddleocr,sharpening_denoising,0.0,0.0,7.054308176040649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,yolo_ocr,yolo_ocr,sharpening_denoising,0.0,0.0,7.515743732452393,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,yolo_ocr,yolo_ocr,denoising_binarization,0.0,0.0,7.431264400482178,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,0.0,0.0,0.0,0.0,,,,,,
yolo_ocr,yolo_ocr,yolo_ocr,sharpening_denoising_binarization,0.0,0.0,7.055421829223633,0.002207505518763808,1.2078762259522556e-53,0.021505376131344667,0.0,0.021505376131344667,0.0,0.0,0.0,0.0,,,,,,
