model_name,text_detection,text_recognition,preprocessing_steps,item_accuracy,char_accuracy,inference_time,average_normalized_levenshtein,average_bleu_score,average_rouge_rouge-1,average_rouge_rouge-2,average_rouge_rouge-l,average_type_textType1,average_region_bottom,average_length_short,average_length_medium,average_length_long,average_size_large
azure_read,azure_read,azure_read,binarization,0.15126050420168066,0.3709677419354839,10.087955236434937,0.7328918322295805,0.6348385236119891,0.8526315739523547,0.6172839456241428,0.842105258162881,0.7777777777777778,0.7777777777777778,0.8666666666666667,0.5,0.0,0.7777777777777778
azure_read,azure_read,azure_read,denoising,0.15966386554621848,0.3188405797101449,10.005197525024414,0.7527593818984547,0.6813848721617342,0.8586387384622133,0.6666666616735254,0.8376963300852499,0.7368421052631579,0.7368421052631579,0.8666666666666667,0.5,0.0,0.7368421052631579
azure_read,azure_read,azure_read,denoising_binarization,0.20168067226890757,0.4,9.935774326324463,0.7549668874172185,0.6680678060699612,0.8510638247894976,0.6416666616697918,0.8297872290448167,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5,0.0,0.6666666666666666
azure_read,azure_read,azure_read,no_preprocessing,0.19327731092436976,0.3684210526315789,3.7535765171051025,0.7615894039735099,0.693657355954476,0.8723404205341784,0.6776859454186873,0.861702122661838,0.7391304347826086,0.7391304347826086,0.8333333333333334,0.6666666666666666,0.0,0.7391304347826086
azure_read,azure_read,azure_read,sharpening,0.18487394957983194,0.37333333333333335,3.2211031913757324,0.7704194260485651,0.6790261845172276,0.8631578897418283,0.6556016547552558,0.842105258162881,0.7727272727272727,0.7727272727272727,0.8823529411764706,0.6666666666666666,0.0,0.7727272727272727
azure_read,azure_read,azure_read,sharpening_binarization,0.18487394957983194,0.43478260869565216,4.052310466766357,0.7483443708609272,0.6629162079982925,0.8526315739523547,0.6611570197988527,0.842105258162881,0.7727272727272727,0.7727272727272727,0.8888888888888888,0.3333333333333333,0.0,0.7727272727272727
azure_read,azure_read,azure_read,sharpening_denoising,0.18487394957983194,0.3684210526315789,33.67741656303406,0.7615894039735099,0.6927858496000951,0.8723404205341784,0.6749999950031251,0.861702122661838,0.6818181818181818,0.6818181818181818,0.8235294117647058,0.3333333333333333,0.0,0.6818181818181818
azure_read,azure_read,azure_read,sharpening_denoising_binarization,0.20168067226890757,0.4,9.902033567428589,0.7593818984547461,0.6623371138191113,0.8404255269171572,0.6416666616697918,0.8297872290448167,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.5,0.0,0.6666666666666666
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),binarization,0.23529411764705882,0.8360655737704918,1.5256106853485107,0.6931567328918322,0.4135292887954735,0.7142857092863183,0.37931033982795787,0.6923076873082963,0.6428571428571429,0.6428571428571429,0.7368421052631579,0.375,1.0,0.6428571428571429
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),denoising,0.226890756302521,0.8125,8.171145915985107,0.6931567328918322,0.4503343876890031,0.706521734130435,0.3982683932692416,0.673913038478261,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.375,1.0,0.6666666666666666
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),denoising_binarization,0.226890756302521,0.8125,11.303277015686035,0.6909492273730684,0.43981539928294466,0.7173912993478262,0.4155844105852589,0.6847826036956522,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.375,1.0,0.6666666666666666
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),no_preprocessing,0.226890756302521,0.8125,1.897773265838623,0.6887417218543046,0.4363161563859231,0.7135135085136597,0.4137930984486475,0.6810810760812273,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.375,1.0,0.6666666666666666
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening,0.226890756302521,0.8125,1.5420658588409424,0.6909492273730684,0.43981539928294466,0.7173912993478262,0.4155844105852589,0.6847826036956522,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.375,1.0,0.6666666666666666
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_binarization,0.20168067226890757,0.8703703703703703,1.4709680080413818,0.695364238410596,0.42399665030624445,0.7135135085136597,0.37931033982795787,0.6918918868920381,0.7083333333333334,0.7083333333333334,0.8125,0.42857142857142855,1.0,0.7083333333333334
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_denoising,0.226890756302521,0.8125,8.172497034072876,0.6909492273730684,0.43981539928294466,0.7173912993478262,0.4155844105852589,0.6847826036956522,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.375,1.0,0.6666666666666666
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening_denoising_binarization,0.226890756302521,0.8125,12.072000980377197,0.6887417218543046,0.4363161563859231,0.7135135085136597,0.4137930984486475,0.6810810760812273,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.375,1.0,0.6666666666666666
paddleocr,DBNet/EAST,CRNN/SVTR,binarization,0.0,0.0,0.03541707992553711,0.0,0.0,0.0,0.0,0.0,,,,,,
paddleocr,DBNet/EAST,CRNN/SVTR,denoising,0.0,0.0,6.713577508926392,0.0,0.0,0.0,0.0,0.0,,,,,,
paddleocr,DBNet/EAST,CRNN/SVTR,denoising_binarization,0.0,0.0,6.738251686096191,0.0,0.0,0.0,0.0,0.0,,,,,,
paddleocr,DBNet/EAST,CRNN/SVTR,no_preprocessing,0.0,0.0,0.0012197494506835938,0.0,0.0,0.0,0.0,0.0,,,,,,
