model_name,text_detection,text_recognition,preprocessing_steps,item_accuracy,char_accuracy,inference_time,average_type_textType1,average_region_bottom,average_length_short,average_length_long,average_length_medium,average_size_medium,average_normalized_levenshtein,average_bleu_score,average_rouge_rouge-1,average_rouge_rouge-2,average_rouge_rouge-l
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),binarization,0.3918918918918919,0.7108433734939759,5.86695671081543,0.6206896551724138,0.6206896551724138,0.6666666666666666,0.5,0.5714285714285714,0.6206896551724138,0.7071428571428571,0.3498891933086343,0.6086956471781139,0.3129251650701097,0.5942028935549256
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),binarization,0.3918918918918919,0.7108433734939759,2.077497720718384,0.6206896551724138,0.6206896551724138,0.6666666666666666,0.5,0.5714285714285714,0.6206896551724138,0.7071428571428571,0.3498891933086343,0.6086956471781139,0.3129251650701097,0.5942028935549256
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),denoising,0.527027027027027,0.6984126984126984,3.211623430252075,0.6923076923076923,0.6923076923076923,0.7894736842105263,0.4285714285714285,0.6923076923076923,0.6923076923076923,0.725,0.3521157379621322,0.6376811544244907,0.2857142807163682,0.6086956471781139
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),denoising,0.527027027027027,0.6984126984126984,2.501172542572021,0.6923076923076923,0.6923076923076923,0.7894736842105263,0.4285714285714285,0.6923076923076923,0.6923076923076923,0.725,0.3521157379621322,0.6376811544244907,0.2857142807163682,0.6086956471781139
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),denoising_binarization,0.527027027027027,0.7063492063492064,9.494381189346312,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7285714285714286,0.3613493715029804,0.6423357614257552,0.3013698580146369,0.6131386811337844
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),denoising_binarization,0.527027027027027,0.7063492063492064,2.399178981781006,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7285714285714286,0.3613493715029804,0.6423357614257552,0.3013698580146369,0.6131386811337844
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),no_preprocessing,0.527027027027027,0.7063492063492064,2.752852201461792,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7321428571428572,0.3786794356266647,0.6569343015717407,0.3287671182886096,0.6277372212797699
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),no_preprocessing,0.527027027027027,0.7063492063492064,2.455364227294922,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7321428571428572,0.3786794356266647,0.6569343015717407,0.3287671182886096,0.6277372212797699
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening,0.527027027027027,0.7063492063492064,2.8739819526672363,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7321428571428572,0.3786794356266647,0.6569343015717407,0.3287671182886096,0.6277372212797699
easyocr,CRAFT,CRNN (CNN + BiLSTM + CTC),sharpening,0.527027027027027,0.7063492063492064,2.0760936737060547,0.717948717948718,0.717948717948718,0.8421052631578947,0.4285714285714285,0.6923076923076923,0.717948717948718,0.7321428571428572,0.3786794356266647,0.6569343015717407,0.3287671182886096,0.6277372212797699
